[2023-02-20 08:19:35,787] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET / HTTP/1.1" 302 0
[2023-02-20 08:19:36,040] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4823
[2023-02-20 08:19:36,254] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2023-02-20 08:19:36,261] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4823
[2023-02-20 08:20:26,877] [UserIP.py:89] [UserIP:process_response] [CRITICAL]- 系统错误
[2023-02-20 08:20:26,903] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /login/ HTTP/1.1" 302 0
[2023-02-20 08:20:27,034] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /index/ HTTP/1.1" 200 30562
[2023-02-20 08:20:27,144] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /index/ HTTP/1.1" 200 30562
[2023-02-20 08:20:27,333] [UserIP.py:87] [UserIP:process_response] [INFO]- 2023-02-20 08:20:27 C1010S3>Cao.Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /index/ POST
[2023-02-20 08:20:27,343] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 21485
[2023-02-20 08:20:27,348] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /index/ HTTP/1.1" 200 1830
[2023-02-20 08:20:27,402] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/img/UserInfo/Jully_Li.jpg
[2023-02-20 08:20:27,404] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/img/UserInfo/Jully_Li.jpg HTTP/1.1" 404 1803
[2023-02-20 08:20:55,248] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /DeviceA39/BorrowedDeviceA39/ HTTP/1.1" 200 55995
[2023-02-20 08:20:55,324] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /DeviceA39/BorrowedDeviceA39/ HTTP/1.1" 200 55995
[2023-02-20 08:20:55,623] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 21485
[2023-02-20 08:20:58,329] [UserIP.py:87] [UserIP:process_response] [INFO]- 2023-02-20 08:20:58 C1010S3>Cao.Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /DeviceLNV/BorrowedDeviceLNV/ POST
[2023-02-20 08:20:58,360] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /DeviceLNV/BorrowedDeviceLNV/ HTTP/1.1" 200 2104343
[2023-02-20 08:20:58,850] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/244.jpg
[2023-02-20 08:20:58,852] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/244.jpg HTTP/1.1" 404 1800
[2023-02-20 08:20:58,854] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /media/DeviceLNV/Device/1513.jpg HTTP/1.1" 200 215360
[2023-02-20 08:20:58,857] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/2260.jpg
[2023-02-20 08:20:58,863] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /media/DeviceLNV/Device/2156.jpg HTTP/1.1" 200 201323
[2023-02-20 08:20:58,865] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/233.jpg
[2023-02-20 08:20:58,865] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/2260.jpg HTTP/1.1" 404 1803
[2023-02-20 08:20:58,871] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/2214.jpg
[2023-02-20 08:20:58,881] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/233.jpg HTTP/1.1" 404 1800
[2023-02-20 08:20:58,889] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/2214.jpg HTTP/1.1" 404 1803
[2023-02-20 08:20:58,925] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/2218.jpg
[2023-02-20 08:20:58,962] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/2218.jpg HTTP/1.1" 404 1803
[2023-02-20 08:20:58,963] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/1462.jpg
[2023-02-20 08:20:58,976] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/253.jpg
[2023-02-20 08:20:58,977] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/1462.jpg HTTP/1.1" 404 1803
[2023-02-20 08:20:58,989] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/262.jpg
[2023-02-20 08:20:58,993] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/261.jpg
